COMMODITY,Commodity,VARIABLE,Variable,TIME,Value,,Flags
BV,Beef and veal,QP,Production,1990,1001.288,,
BV,Beef and veal,QP,Production,1991,1019.275,,
BV,Beef and veal,QP,Production,1992,972.309,,
BV,Beef and veal,QP,Production,1993,887.369,,
BV,Beef and veal,QP,Production,1994,946.327,,
BV,Beef and veal,QP,Production,1995,1001.288,,
BV,Beef and veal,QP,Production,1996,709.496,,
BV,Beef and veal,QP,Production,1997,687.511,,
BV,Beef and veal,QP,Production,1998,698.503,,
BV,Beef and veal,QP,Production,1999,678.518,,
BV,Beef and veal,QP,Production,2000,704.499,,
BV,Beef and veal,QP,Production,2001,644.646,,
BV,Beef and veal,QP,Production,2002,694.295,,
BV,Beef and veal,QP,Production,2003,703.223,,
BV,Beef and veal,QP,Production,2004,723.644,,
BV,Beef and veal,QP,Production,2005,764.806,,
BV,Beef and veal,QP,Production,2006,852.15,,
BV,Beef and veal,QP,Production,2007,888.472,,
BV,Beef and veal,QP,Production,2008,866.022,,
BV,Beef and veal,QP,Production,2009,823.356,,
BV,Beef and veal,QP,Production,2010,897.447,,
BV,Beef and veal,QP,Production,2011,931.479,,
BV,Beef and veal,QP,Production,2012,876.928,,
BV,Beef and veal,QP,Production,2013,840.228,,
BV,Beef and veal,QP,Production,2014,871.373,,
BV,Beef and veal,QP,Production,2015,880.41,,
BV,Beef and veal,QP,Production,2016,916.443,,
BV,Beef and veal,QP,Production,2017,904.344,,
BV,Beef and veal,QP,Production,2018,900.685,,
BV,Beef and veal,QP,Production,2019,917.167,,
BV,Beef and veal,QP,Production,2020,853.194,,
BV,Beef and veal,QP,Production,2021,872.383,,
BV,Beef and veal,QP,Production,2022,857.408,,
BV,Beef and veal,QP,Production,2023,842.668,,
BV,Beef and veal,QP,Production,2024,827.378,,
BV,Beef and veal,QP,Production,2025,811.923,,
BV,Beef and veal,QP,Production,2026,796.603,,
BV,Beef and veal,QP,Production,2027,781.386,,
BV,Beef and veal,QP,Production,2028,766.189,,
BV,Beef and veal,QP,Production,2029,750.963,,
BV,Beef and veal,QP,Production,2030,735.746,,
BV,Beef and veal,QC,Consumption,1990,1102.267,,
BV,Beef and veal,QC,Consumption,1991,1124.156,,
BV,Beef and veal,QC,Consumption,1992,1086.1,,
BV,Beef and veal,QC,Consumption,1993,927.77,,
BV,Beef and veal,QC,Consumption,1994,940.917,,
BV,Beef and veal,QC,Consumption,1995,983.175,,
BV,Beef and veal,QC,Consumption,1996,813.372,,
BV,Beef and veal,QC,Consumption,1997,862.714,,
BV,Beef and veal,QC,Consumption,1998,853.618,,
BV,Beef and veal,QC,Consumption,1999,855.597,,
BV,Beef and veal,QC,Consumption,2000,892.427,,
BV,Beef and veal,QC,Consumption,2001,899.846,,
BV,Beef and veal,QC,Consumption,2002,983.047,,
BV,Beef and veal,QC,Consumption,2003,999.685,,
BV,Beef and veal,QC,Consumption,2004,1033.938,,
BV,Beef and veal,QC,Consumption,2005,1037.45,,
BV,Beef and veal,QC,Consumption,2006,1069.418,,
BV,Beef and veal,QC,Consumption,2007,1090.472,,
BV,Beef and veal,QC,Consumption,2008,1060.779,,
BV,Beef and veal,QC,Consumption,2009,1022.208,,
BV,Beef and veal,QC,Consumption,2010,1075.546,,
BV,Beef and veal,QC,Consumption,2011,1062.388,,
BV,Beef and veal,QC,Consumption,2012,1039.903,,
BV,Beef and veal,QC,Consumption,2013,1023.414,,
BV,Beef and veal,QC,Consumption,2014,1060.65,,
BV,Beef and veal,QC,Consumption,2015,1094.539,,
BV,Beef and veal,QC,Consumption,2016,1107.884,,
BV,Beef and veal,QC,Consumption,2017,1115.877,,
BV,Beef and veal,QC,Consumption,2018,1125.491,,
BV,Beef and veal,QC,Consumption,2019,1067.216,,
BV,Beef and veal,QC,Consumption,2020,1098.194,,
BV,Beef and veal,QC,Consumption,2021,1119.025,,
BV,Beef and veal,QC,Consumption,2022,1119.802,,
BV,Beef and veal,QC,Consumption,2023,1121.576,,
BV,Beef and veal,QC,Consumption,2024,1124.482,,
BV,Beef and veal,QC,Consumption,2025,1126.865,,
BV,Beef and veal,QC,Consumption,2026,1127.941,,
BV,Beef and veal,QC,Consumption,2027,1127.744,,
BV,Beef and veal,QC,Consumption,2028,1128.632,,
BV,Beef and veal,QC,Consumption,2029,1128.919,,
BV,Beef and veal,QC,Consumption,2030,1128.716,,
BV,Beef and veal,FO,Food,1990,1038.397,,
BV,Beef and veal,FO,Food,1991,1062.871,,
BV,Beef and veal,FO,Food,1992,1036.648,,
BV,Beef and veal,FO,Food,1993,860.96,,
BV,Beef and veal,FO,Food,1994,854.842,,
BV,Beef and veal,FO,Food,1995,884.56,,
BV,Beef and veal,FO,Food,1996,779.672,,
BV,Beef and veal,FO,Food,1997,860.086,,
BV,Beef and veal,FO,Food,1998,839.108,,
BV,Beef and veal,FO,Food,1999,853.968,,
BV,Beef and veal,FO,Food,2000,892.427,,
BV,Beef and veal,FO,Food,2001,899.846,,
BV,Beef and veal,FO,Food,2002,983.047,,
BV,Beef and veal,FO,Food,2003,999.685,,
BV,Beef and veal,FO,Food,2004,1033.938,,
BV,Beef and veal,FO,Food,2005,1037.45,,
BV,Beef and veal,FO,Food,2006,1069.418,,
BV,Beef and veal,FO,Food,2007,1090.472,,
BV,Beef and veal,FO,Food,2008,1060.779,,
BV,Beef and veal,FO,Food,2009,1022.208,,
BV,Beef and veal,FO,Food,2010,1075.546,,
BV,Beef and veal,FO,Food,2011,1062.388,,
BV,Beef and veal,FO,Food,2012,1039.903,,
BV,Beef and veal,FO,Food,2013,1023.414,,
BV,Beef and veal,FO,Food,2014,1060.65,,
BV,Beef and veal,FO,Food,2015,1094.539,,
BV,Beef and veal,FO,Food,2016,1107.884,,
BV,Beef and veal,FO,Food,2017,1115.877,,
BV,Beef and veal,FO,Food,2018,1125.491,,
BV,Beef and veal,FO,Food,2019,1067.216,,
BV,Beef and veal,FO,Food,2020,1098.194,,
BV,Beef and veal,FO,Food,2021,1119.025,,
BV,Beef and veal,FO,Food,2022,1119.802,,
BV,Beef and veal,FO,Food,2023,1121.576,,
BV,Beef and veal,FO,Food,2024,1124.482,,
BV,Beef and veal,FO,Food,2025,1126.865,,
BV,Beef and veal,FO,Food,2026,1127.941,,
BV,Beef and veal,FO,Food,2027,1127.744,,
BV,Beef and veal,FO,Food,2028,1128.632,,
BV,Beef and veal,FO,Food,2029,1128.919,,
BV,Beef and veal,FO,Food,2030,1128.716,,
BV,Beef and veal,PP,Producer price,1990,0,,
BV,Beef and veal,PP,Producer price,1991,0,,
BV,Beef and veal,PP,Producer price,1992,0,,
BV,Beef and veal,PP,Producer price,1993,0,,
BV,Beef and veal,PP,Producer price,1994,0,,
BV,Beef and veal,PP,Producer price,1995,0,,
BV,Beef and veal,PP,Producer price,1996,0,,
BV,Beef and veal,PP,Producer price,1997,0,,
BV,Beef and veal,PP,Producer price,1998,0,,
BV,Beef and veal,PP,Producer price,1999,0,,
BV,Beef and veal,PP,Producer price,2000,1607.29,,
BV,Beef and veal,PP,Producer price,2001,1565.787,,
BV,Beef and veal,PP,Producer price,2002,1684.36,,
BV,Beef and veal,PP,Producer price,2003,1732.604,,
BV,Beef and veal,PP,Producer price,2004,1858.982,,
BV,Beef and veal,PP,Producer price,2005,1865.847,,
BV,Beef and veal,PP,Producer price,2006,2027.206,,
BV,Beef and veal,PP,Producer price,2007,2059.942,,
BV,Beef and veal,PP,Producer price,2008,2587.616,,
BV,Beef and veal,PP,Producer price,2009,2790.093,,
BV,Beef and veal,PP,Producer price,2010,2682.443,,
BV,Beef and veal,PP,Producer price,2011,3063.969,,
BV,Beef and veal,PP,Producer price,2012,3413.985,,
BV,Beef and veal,PP,Producer price,2013,3862.679,,
BV,Beef and veal,PP,Producer price,2014,3486.467,,
BV,Beef and veal,PP,Producer price,2015,3463.6,,
BV,Beef and veal,PP,Producer price,2016,3346.258,,
BV,Beef and veal,PP,Producer price,2017,3591.524,,
BV,Beef and veal,PP,Producer price,2018,3613.874,,
BV,Beef and veal,PP,Producer price,2019,3342.445,,
BV,Beef and veal,PP,Producer price,2020,3513.909,,
BV,Beef and veal,PP,Producer price,2021,3381.914,,
BV,Beef and veal,PP,Producer price,2022,3443.214,,
BV,Beef and veal,PP,Producer price,2023,3427.87,,
BV,Beef and veal,PP,Producer price,2024,3406.529,,
BV,Beef and veal,PP,Producer price,2025,3414.781,,
BV,Beef and veal,PP,Producer price,2026,3419.98,,
BV,Beef and veal,PP,Producer price,2027,3422.904,,
BV,Beef and veal,PP,Producer price,2028,3417.677,,
BV,Beef and veal,PP,Producer price,2029,3412.869,,
BV,Beef and veal,PP,Producer price,2030,3408.335,,
BV,Beef and veal,FO__PC,Human consumption per capita,1990,12.722,,
BV,Beef and veal,FO__PC,Human consumption per capita,1991,12.987,,
BV,Beef and veal,FO__PC,Human consumption per capita,1992,12.632,,
BV,Beef and veal,FO__PC,Human consumption per capita,1993,10.463,,
BV,Beef and veal,FO__PC,Human consumption per capita,1994,10.359,,
BV,Beef and veal,FO__PC,Human consumption per capita,1995,10.688,,
BV,Beef and veal,FO__PC,Human consumption per capita,1996,9.391,,
BV,Beef and veal,FO__PC,Human consumption per capita,1997,10.326,,
BV,Beef and veal,FO__PC,Human consumption per capita,1998,10.039,,
BV,Beef and veal,FO__PC,Human consumption per capita,1999,10.181,,
BV,Beef and veal,FO__PC,Human consumption per capita,2000,10.602,,
BV,Beef and veal,FO__PC,Human consumption per capita,2001,10.654,,
BV,Beef and veal,FO__PC,Human consumption per capita,2002,11.599,,
BV,Beef and veal,FO__PC,Human consumption per capita,2003,11.749,,
BV,Beef and veal,FO__PC,Human consumption per capita,2004,12.088,,
BV,Beef and veal,FO__PC,Human consumption per capita,2005,12.046,,
BV,Beef and veal,FO__PC,Human consumption per capita,2006,12.308,,
BV,Beef and veal,FO__PC,Human consumption per capita,2007,12.421,,
BV,Beef and veal,FO__PC,Human consumption per capita,2008,11.949,,
BV,Beef and veal,FO__PC,Human consumption per capita,2009,11.389,,
BV,Beef and veal,FO__PC,Human consumption per capita,2010,11.864,,
BV,Beef and veal,FO__PC,Human consumption per capita,2011,11.616,,
BV,Beef and veal,FO__PC,Human consumption per capita,2012,11.281,,
BV,Beef and veal,FO__PC,Human consumption per capita,2013,11.024,,
BV,Beef and veal,FO__PC,Human consumption per capita,2014,11.349,,
BV,Beef and veal,FO__PC,Human consumption per capita,2015,11.633,,
BV,Beef and veal,FO__PC,Human consumption per capita,2016,11.698,,
BV,Beef and veal,FO__PC,Human consumption per capita,2017,11.706,,
BV,Beef and veal,FO__PC,Human consumption per capita,2018,11.734,,
BV,Beef and veal,FO__PC,Human consumption per capita,2019,11.063,,
BV,Beef and veal,FO__PC,Human consumption per capita,2020,11.324,,
BV,Beef and veal,FO__PC,Human consumption per capita,2021,11.484,,
BV,Beef and veal,FO__PC,Human consumption per capita,2022,11.444,,
BV,Beef and veal,FO__PC,Human consumption per capita,2023,11.417,,
BV,Beef and veal,FO__PC,Human consumption per capita,2024,11.404,,
BV,Beef and veal,FO__PC,Human consumption per capita,2025,11.387,,
BV,Beef and veal,FO__PC,Human consumption per capita,2026,11.357,,
BV,Beef and veal,FO__PC,Human consumption per capita,2027,11.314,,
BV,Beef and veal,FO__PC,Human consumption per capita,2028,11.284,,
BV,Beef and veal,FO__PC,Human consumption per capita,2029,11.248,,
BV,Beef and veal,FO__PC,Human consumption per capita,2030,11.209,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,1990,16.762,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,1991,16.556,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,1992,16.821,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,1993,16.715,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,1994,16.815,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,1995,16.844,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,1996,17.206,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,1997,16.664,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,1998,16.528,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,1999,16.351,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2000,15.98,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2001,15.197,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2002,14.772,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2003,15.153,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2004,15.323,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2005,15.968,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2006,15.654,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2007,15.199,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2008,14.922,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2009,14.855,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2010,15.039,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2011,14.777,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2012,14.747,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2013,14.653,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2014,14.536,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2015,14.595,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2016,14.809,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2017,14.757,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2018,14.582,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2019,14.371,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2020,12.379,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2021,12.246,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2022,12.12,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2023,11.997,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2024,11.876,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2025,11.755,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2026,11.632,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2027,11.509,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2028,11.388,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2029,11.268,,
BV,Beef and veal,ECOE__TOT,Direct GHG emission,2030,11.151,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,1990,0,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,1991,0,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,1992,61.667,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,1993,58.333,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,1994,54.333,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,1995,51,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,1996,49,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,1997,49,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,1998,48,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,1999,49.667,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2000,50,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2001,51,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2002,53.333,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2003,57.667,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2004,62.667,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2005,64.333,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2006,65,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2007,64.667,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2008,65,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2009,62,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2010,59,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2011,56.333,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2012,55.667,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2013,54.333,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2014,53.667,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2015,53.333,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2016,53.034,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2017,53.215,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2018,52.981,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2019,52.023,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2020,51.447,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2021,51.07,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2022,51.645,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2023,51.786,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2024,51.665,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2025,51.579,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2026,51.488,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2027,51.352,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2028,51.197,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2029,51.034,,
BV,Beef and veal,FO__DES__TOT,Total Calorie availability,2030,50.875,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,1990,0,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,1991,0,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,1992,7.46,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,1993,7.037,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,1994,6.547,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,1995,6.17,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,1996,5.957,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,1997,5.94,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,1998,5.8,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,1999,5.96,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2000,6.02,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2001,6.17,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2002,6.48,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2003,6.963,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2004,7.537,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2005,7.733,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2006,7.817,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2007,7.793,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2008,7.823,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2009,7.523,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2010,7.177,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2011,6.873,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2012,6.77,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2013,6.61,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2014,6.517,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2015,6.45,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2016,6.512,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2017,6.535,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2018,6.513,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2019,6.396,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2020,6.325,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2021,6.279,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2022,6.349,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2023,6.367,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2024,6.352,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2025,6.341,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2026,6.33,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2027,6.313,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2028,6.294,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2029,6.274,,
BV,Beef and veal,FO__DFS__PROT,Food Protein availability,2030,6.255,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,1990,0,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,1991,0,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,1992,3.32,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,1993,3.14,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,1994,2.927,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,1995,2.76,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,1996,2.66,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,1997,2.65,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,1998,2.58,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,1999,2.657,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2000,2.683,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2001,2.757,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2002,2.893,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2003,3.13,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2004,3.403,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2005,3.493,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2006,3.517,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2007,3.487,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2008,3.5,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2009,3.333,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2010,3.157,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2011,2.993,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2012,2.957,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2013,2.887,,
BV,Beef and veal,FO__DFS__FAT,Food Fat availability,2014,2.857,,
