areaCode,areaName,areaType,date,cumAntibodyTestsByPublishDate
K02000001,United Kingdom,overview,2021-10-05,4891724
K02000001,United Kingdom,overview,2021-10-04,4889527
K02000001,United Kingdom,overview,2021-10-03,4887330
K02000001,United Kingdom,overview,2021-10-02,4886869
K02000001,United Kingdom,overview,2021-10-01,4886339
K02000001,United Kingdom,overview,2021-09-30,4884499
K02000001,United Kingdom,overview,2021-09-29,4881457
K02000001,United Kingdom,overview,2021-09-28,4877477
K02000001,United Kingdom,overview,2021-09-27,4842699
K02000001,United Kingdom,overview,2021-09-26,4841723
K02000001,United Kingdom,overview,2021-09-25,4841515
K02000001,United Kingdom,overview,2021-09-24,4841354
K02000001,United Kingdom,overview,2021-09-23,4838988
K02000001,United Kingdom,overview,2021-09-22,4835873
K02000001,United Kingdom,overview,2021-09-21,4833141
K02000001,United Kingdom,overview,2021-09-20,4801726
K02000001,United Kingdom,overview,2021-09-19,4800726
K02000001,United Kingdom,overview,2021-09-18,4800591
K02000001,United Kingdom,overview,2021-09-17,4799115
K02000001,United Kingdom,overview,2021-09-16,4795425
K02000001,United Kingdom,overview,2021-09-15,4793776
K02000001,United Kingdom,overview,2021-09-14,4789911
K02000001,United Kingdom,overview,2021-09-13,4764588
K02000001,United Kingdom,overview,2021-09-12,4762947
K02000001,United Kingdom,overview,2021-09-11,4762657
K02000001,United Kingdom,overview,2021-09-10,4761106
K02000001,United Kingdom,overview,2021-09-09,4758069
K02000001,United Kingdom,overview,2021-09-08,4755342
K02000001,United Kingdom,overview,2021-09-07,4751506
K02000001,United Kingdom,overview,2021-09-06,4720841
K02000001,United Kingdom,overview,2021-09-05,4718745
K02000001,United Kingdom,overview,2021-09-04,4718480
K02000001,United Kingdom,overview,2021-09-03,4717093
K02000001,United Kingdom,overview,2021-09-02,4714700
K02000001,United Kingdom,overview,2021-09-01,4711750
K02000001,United Kingdom,overview,2021-08-31,4708761
K02000001,United Kingdom,overview,2021-08-30,4668034
K02000001,United Kingdom,overview,2021-08-29,4667939
K02000001,United Kingdom,overview,2021-08-28,4667739
K02000001,United Kingdom,overview,2021-08-27,4667567
K02000001,United Kingdom,overview,2021-08-26,4665478
K02000001,United Kingdom,overview,2021-08-25,4663108
K02000001,United Kingdom,overview,2021-08-24,4659495
K02000001,United Kingdom,overview,2021-08-23,4617594
K02000001,United Kingdom,overview,2021-08-22,4616908
K02000001,United Kingdom,overview,2021-08-21,4616619
K02000001,United Kingdom,overview,2021-08-20,4616252
K02000001,United Kingdom,overview,2021-08-19,4613481
K02000001,United Kingdom,overview,2021-08-18,4610942
K02000001,United Kingdom,overview,2021-08-17,4607251
K02000001,United Kingdom,overview,2021-08-16,4570421
K02000001,United Kingdom,overview,2021-08-15,4568938
K02000001,United Kingdom,overview,2021-08-14,4568772
K02000001,United Kingdom,overview,2021-08-13,4568391
K02000001,United Kingdom,overview,2021-08-12,4566443
K02000001,United Kingdom,overview,2021-08-11,4564535
K02000001,United Kingdom,overview,2021-08-10,4561160
K02000001,United Kingdom,overview,2021-08-09,4558563
K02000001,United Kingdom,overview,2021-08-08,4523772
K02000001,United Kingdom,overview,2021-08-07,4523686
K02000001,United Kingdom,overview,2021-08-06,4523135
K02000001,United Kingdom,overview,2021-08-05,4519884
K02000001,United Kingdom,overview,2021-08-04,4516405
K02000001,United Kingdom,overview,2021-08-03,4510006
K02000001,United Kingdom,overview,2021-08-02,4477548
K02000001,United Kingdom,overview,2021-08-01,4474087
K02000001,United Kingdom,overview,2021-07-31,4473540
K02000001,United Kingdom,overview,2021-07-30,4472696
K02000001,United Kingdom,overview,2021-07-29,4471254
K02000001,United Kingdom,overview,2021-07-28,4468740
K02000001,United Kingdom,overview,2021-07-27,4462093
K02000001,United Kingdom,overview,2021-07-26,4417702
K02000001,United Kingdom,overview,2021-07-25,4416035
K02000001,United Kingdom,overview,2021-07-24,4415823
K02000001,United Kingdom,overview,2021-07-23,4415204
K02000001,United Kingdom,overview,2021-07-22,4377486
K02000001,United Kingdom,overview,2021-07-21,4374613
K02000001,United Kingdom,overview,2021-07-20,4370812
K02000001,United Kingdom,overview,2021-07-19,4368187
K02000001,United Kingdom,overview,2021-07-18,4365744
K02000001,United Kingdom,overview,2021-07-17,4365569
K02000001,United Kingdom,overview,2021-07-16,4365168
K02000001,United Kingdom,overview,2021-07-15,4361725
K02000001,United Kingdom,overview,2021-07-14,4358369
K02000001,United Kingdom,overview,2021-07-13,4354776
K02000001,United Kingdom,overview,2021-07-12,4316345
K02000001,United Kingdom,overview,2021-07-11,4241290
K02000001,United Kingdom,overview,2021-07-10,4241023
K02000001,United Kingdom,overview,2021-07-09,4240372
K02000001,United Kingdom,overview,2021-07-08,4237355
K02000001,United Kingdom,overview,2021-07-07,4233661
K02000001,United Kingdom,overview,2021-07-06,4230753
K02000001,United Kingdom,overview,2021-07-05,4194670
K02000001,United Kingdom,overview,2021-07-04,4192816
K02000001,United Kingdom,overview,2021-07-03,4192612
K02000001,United Kingdom,overview,2021-07-02,4192381
K02000001,United Kingdom,overview,2021-07-01,4190040
K02000001,United Kingdom,overview,2021-06-30,4188578
K02000001,United Kingdom,overview,2021-06-29,4185298
K02000001,United Kingdom,overview,2021-06-28,4147778
K02000001,United Kingdom,overview,2021-06-27,4146430
K02000001,United Kingdom,overview,2021-06-26,4146040
K02000001,United Kingdom,overview,2021-06-25,4145718
K02000001,United Kingdom,overview,2021-06-24,4142873
K02000001,United Kingdom,overview,2021-06-23,4141207
K02000001,United Kingdom,overview,2021-06-22,4136939
K02000001,United Kingdom,overview,2021-06-21,4114141
K02000001,United Kingdom,overview,2021-06-20,4112825
K02000001,United Kingdom,overview,2021-06-19,4112273
K02000001,United Kingdom,overview,2021-06-18,4111996
K02000001,United Kingdom,overview,2021-06-17,4108614
K02000001,United Kingdom,overview,2021-06-16,4105138
K02000001,United Kingdom,overview,2021-06-15,4099732
K02000001,United Kingdom,overview,2021-06-14,4060241
K02000001,United Kingdom,overview,2021-06-13,4058952
K02000001,United Kingdom,overview,2021-06-12,4057972
K02000001,United Kingdom,overview,2021-06-11,4057699
K02000001,United Kingdom,overview,2021-06-10,4055011
K02000001,United Kingdom,overview,2021-06-09,4051585
K02000001,United Kingdom,overview,2021-06-08,4048458
K02000001,United Kingdom,overview,2021-06-07,4025769
K02000001,United Kingdom,overview,2021-06-06,4023429
K02000001,United Kingdom,overview,2021-06-05,4022605
K02000001,United Kingdom,overview,2021-06-04,4022010
K02000001,United Kingdom,overview,2021-06-03,4018628
K02000001,United Kingdom,overview,2021-06-02,4014422
K02000001,United Kingdom,overview,2021-06-01,4009980
K02000001,United Kingdom,overview,2021-05-31,3970999
K02000001,United Kingdom,overview,2021-05-30,3970782
K02000001,United Kingdom,overview,2021-05-29,3970318
K02000001,United Kingdom,overview,2021-05-28,3969794
K02000001,United Kingdom,overview,2021-05-27,3966373
K02000001,United Kingdom,overview,2021-05-26,3964079
K02000001,United Kingdom,overview,2021-05-25,3956614
K02000001,United Kingdom,overview,2021-05-24,3912355
K02000001,United Kingdom,overview,2021-05-23,3900727
K02000001,United Kingdom,overview,2021-05-22,3895409
K02000001,United Kingdom,overview,2021-05-21,3890829
K02000001,United Kingdom,overview,2021-05-20,3881786
K02000001,United Kingdom,overview,2021-05-19,3867357
K02000001,United Kingdom,overview,2021-05-18,3852383
K02000001,United Kingdom,overview,2021-05-17,3798689
K02000001,United Kingdom,overview,2021-05-16,3771989
K02000001,United Kingdom,overview,2021-05-15,3747389
K02000001,United Kingdom,overview,2021-05-14,3720017
K02000001,United Kingdom,overview,2021-05-13,3685805
K02000001,United Kingdom,overview,2021-05-12,3645157
K02000001,United Kingdom,overview,2021-05-11,3619395
K02000001,United Kingdom,overview,2021-05-10,3597003
K02000001,United Kingdom,overview,2021-05-09,3595111
K02000001,United Kingdom,overview,2021-05-08,3594753
K02000001,United Kingdom,overview,2021-05-07,3593594
K02000001,United Kingdom,overview,2021-05-06,3590908
K02000001,United Kingdom,overview,2021-05-05,3570340
K02000001,United Kingdom,overview,2021-05-04,3564934
K02000001,United Kingdom,overview,2021-05-03,3563440
K02000001,United Kingdom,overview,2021-05-02,3563144
K02000001,United Kingdom,overview,2021-05-01,3562396
K02000001,United Kingdom,overview,2021-04-30,3561806
K02000001,United Kingdom,overview,2021-04-29,3559624
K02000001,United Kingdom,overview,2021-04-28,3556081
K02000001,United Kingdom,overview,2021-04-27,3551172
K02000001,United Kingdom,overview,2021-04-26,3531772
K02000001,United Kingdom,overview,2021-04-25,3528723
K02000001,United Kingdom,overview,2021-04-24,3527984
K02000001,United Kingdom,overview,2021-04-23,3527000
K02000001,United Kingdom,overview,2021-04-22,3523854
K02000001,United Kingdom,overview,2021-04-21,3519630
K02000001,United Kingdom,overview,2021-04-20,3515614
K02000001,United Kingdom,overview,2021-04-19,3492832
K02000001,United Kingdom,overview,2021-04-18,3471766
K02000001,United Kingdom,overview,2021-04-17,3468469
K02000001,United Kingdom,overview,2021-04-16,3467542
K02000001,United Kingdom,overview,2021-04-15,3465240
K02000001,United Kingdom,overview,2021-04-14,3460744
K02000001,United Kingdom,overview,2021-04-13,3454622
K02000001,United Kingdom,overview,2021-04-12,3450869
K02000001,United Kingdom,overview,2021-04-11,3446017
K02000001,United Kingdom,overview,2021-04-10,3445502
K02000001,United Kingdom,overview,2021-04-09,3444587
K02000001,United Kingdom,overview,2021-04-08,3439597
K02000001,United Kingdom,overview,2021-04-07,3434364
K02000001,United Kingdom,overview,2021-04-06,3429260
K02000001,United Kingdom,overview,2021-04-05,3407448
K02000001,United Kingdom,overview,2021-04-04,3407008
K02000001,United Kingdom,overview,2021-04-03,3406352
K02000001,United Kingdom,overview,2021-04-02,3405817
K02000001,United Kingdom,overview,2021-04-01,3404602
K02000001,United Kingdom,overview,2021-03-31,3399671
K02000001,United Kingdom,overview,2021-03-30,3396602
K02000001,United Kingdom,overview,2021-03-29,3381877
K02000001,United Kingdom,overview,2021-03-28,3380458
K02000001,United Kingdom,overview,2021-03-27,3377952
K02000001,United Kingdom,overview,2021-03-26,3376120
K02000001,United Kingdom,overview,2021-03-25,3373355
K02000001,United Kingdom,overview,2021-03-24,3369466
K02000001,United Kingdom,overview,2021-03-23,3363570
K02000001,United Kingdom,overview,2021-03-22,3348920
K02000001,United Kingdom,overview,2021-03-21,3343051
K02000001,United Kingdom,overview,2021-03-20,3341132
K02000001,United Kingdom,overview,2021-03-19,3339090
K02000001,United Kingdom,overview,2021-03-18,3333140
K02000001,United Kingdom,overview,2021-03-17,3329058
K02000001,United Kingdom,overview,2021-03-16,3323165
K02000001,United Kingdom,overview,2021-03-15,3309086
K02000001,United Kingdom,overview,2021-03-14,3306697
K02000001,United Kingdom,overview,2021-03-13,3305932
K02000001,United Kingdom,overview,2021-03-12,3305221
K02000001,United Kingdom,overview,2021-03-11,3300019
K02000001,United Kingdom,overview,2021-03-10,3295805
K02000001,United Kingdom,overview,2021-03-09,3288645
K02000001,United Kingdom,overview,2021-03-08,3270441
K02000001,United Kingdom,overview,2021-03-07,3268325
K02000001,United Kingdom,overview,2021-03-06,3267440
K02000001,United Kingdom,overview,2021-03-05,3266775
K02000001,United Kingdom,overview,2021-03-04,3263969
K02000001,United Kingdom,overview,2021-03-03,3261295
K02000001,United Kingdom,overview,2021-03-02,3258901
K02000001,United Kingdom,overview,2021-03-01,3256094
K02000001,United Kingdom,overview,2021-02-28,3242308
K02000001,United Kingdom,overview,2021-02-27,3241542
K02000001,United Kingdom,overview,2021-02-26,3240499
K02000001,United Kingdom,overview,2021-02-25,3237504
K02000001,United Kingdom,overview,2021-02-24,3233508
K02000001,United Kingdom,overview,2021-02-23,3229244
K02000001,United Kingdom,overview,2021-02-22,3210650
K02000001,United Kingdom,overview,2021-02-21,3208387
K02000001,United Kingdom,overview,2021-02-20,3207446
K02000001,United Kingdom,overview,2021-02-19,3206490
K02000001,United Kingdom,overview,2021-02-18,3203233
K02000001,United Kingdom,overview,2021-02-17,3198509
K02000001,United Kingdom,overview,2021-02-16,3195899
K02000001,United Kingdom,overview,2021-02-15,3192353
K02000001,United Kingdom,overview,2021-02-14,3189853
K02000001,United Kingdom,overview,2021-02-13,3189175
K02000001,United Kingdom,overview,2021-02-12,3186160
K02000001,United Kingdom,overview,2021-02-11,3181398
K02000001,United Kingdom,overview,2021-02-10,3177187
K02000001,United Kingdom,overview,2021-02-09,3173838
K02000001,United Kingdom,overview,2021-02-08,3167136
K02000001,United Kingdom,overview,2021-02-07,3162720
K02000001,United Kingdom,overview,2021-02-06,3161577
K02000001,United Kingdom,overview,2021-02-05,3159140
K02000001,United Kingdom,overview,2021-02-04,3154292
K02000001,United Kingdom,overview,2021-02-03,3146306
K02000001,United Kingdom,overview,2021-02-02,3139420
K02000001,United Kingdom,overview,2021-02-01,3120958
K02000001,United Kingdom,overview,2021-01-31,3108509
K02000001,United Kingdom,overview,2021-01-30,3098472
K02000001,United Kingdom,overview,2021-01-29,3086870
K02000001,United Kingdom,overview,2021-01-28,3070438
K02000001,United Kingdom,overview,2021-01-27,3043466
K02000001,United Kingdom,overview,2021-01-26,2996720
K02000001,United Kingdom,overview,2021-01-25,2936855
K02000001,United Kingdom,overview,2021-01-24,2933014
K02000001,United Kingdom,overview,2021-01-23,2932443
K02000001,United Kingdom,overview,2021-01-22,2930503
K02000001,United Kingdom,overview,2021-01-21,2928018
K02000001,United Kingdom,overview,2021-01-20,2922828
K02000001,United Kingdom,overview,2021-01-19,2918634
K02000001,United Kingdom,overview,2021-01-18,2905932
K02000001,United Kingdom,overview,2021-01-17,2902682
K02000001,United Kingdom,overview,2021-01-16,2902046
K02000001,United Kingdom,overview,2021-01-15,2900609
K02000001,United Kingdom,overview,2021-01-14,2896483
K02000001,United Kingdom,overview,2021-01-13,2892252
K02000001,United Kingdom,overview,2021-01-12,2888341
K02000001,United Kingdom,overview,2021-01-11,2863199
K02000001,United Kingdom,overview,2021-01-10,2860709
K02000001,United Kingdom,overview,2021-01-09,2860134
K02000001,United Kingdom,overview,2021-01-08,2859428
K02000001,United Kingdom,overview,2021-01-07,2856855
K02000001,United Kingdom,overview,2021-01-06,2853009
K02000001,United Kingdom,overview,2021-01-05,2844354
K02000001,United Kingdom,overview,2021-01-04,2841654
K02000001,United Kingdom,overview,2021-01-03,2839665
K02000001,United Kingdom,overview,2021-01-02,2838947
K02000001,United Kingdom,overview,2021-01-01,2838397
K02000001,United Kingdom,overview,2020-12-31,2837801
K02000001,United Kingdom,overview,2020-12-30,2834737
K02000001,United Kingdom,overview,2020-12-29,2831647
K02000001,United Kingdom,overview,2020-12-28,2828977
K02000001,United Kingdom,overview,2020-12-27,2828335
K02000001,United Kingdom,overview,2020-12-26,2827747
K02000001,United Kingdom,overview,2020-12-25,2827012
K02000001,United Kingdom,overview,2020-12-24,2826424
K02000001,United Kingdom,overview,2020-12-23,2823274
K02000001,United Kingdom,overview,2020-12-22,2820455
K02000001,United Kingdom,overview,2020-12-21,2817312
K02000001,United Kingdom,overview,2020-12-20,2814344
K02000001,United Kingdom,overview,2020-12-19,2813864
K02000001,United Kingdom,overview,2020-12-18,2812202
K02000001,United Kingdom,overview,2020-12-17,2808180
K02000001,United Kingdom,overview,2020-12-16,2805086
K02000001,United Kingdom,overview,2020-12-15,2800932
K02000001,United Kingdom,overview,2020-12-14,2792031
K02000001,United Kingdom,overview,2020-12-13,2788748
K02000001,United Kingdom,overview,2020-12-12,2788383
K02000001,United Kingdom,overview,2020-12-11,2787417
K02000001,United Kingdom,overview,2020-12-10,2783438
K02000001,United Kingdom,overview,2020-12-09,2773773
K02000001,United Kingdom,overview,2020-12-08,2770061
K02000001,United Kingdom,overview,2020-12-07,2767654
K02000001,United Kingdom,overview,2020-12-06,2765580
K02000001,United Kingdom,overview,2020-12-05,2765245
K02000001,United Kingdom,overview,2020-12-04,2763828
K02000001,United Kingdom,overview,2020-12-03,2759600
K02000001,United Kingdom,overview,2020-12-02,2755525
K02000001,United Kingdom,overview,2020-12-01,2751997
K02000001,United Kingdom,overview,2020-11-30,2739880
K02000001,United Kingdom,overview,2020-11-29,2722579
K02000001,United Kingdom,overview,2020-11-28,2721295
K02000001,United Kingdom,overview,2020-11-27,2720566
K02000001,United Kingdom,overview,2020-11-26,2717002
K02000001,United Kingdom,overview,2020-11-25,2712524
K02000001,United Kingdom,overview,2020-11-24,2708953
K02000001,United Kingdom,overview,2020-11-23,2699146
K02000001,United Kingdom,overview,2020-11-22,2696759
K02000001,United Kingdom,overview,2020-11-21,2696219
K02000001,United Kingdom,overview,2020-11-20,2694541
K02000001,United Kingdom,overview,2020-11-19,2690327
K02000001,United Kingdom,overview,2020-11-18,2685414
K02000001,United Kingdom,overview,2020-11-17,2682266
K02000001,United Kingdom,overview,2020-11-16,2674824
K02000001,United Kingdom,overview,2020-11-15,2671995
K02000001,United Kingdom,overview,2020-11-14,2671062
K02000001,United Kingdom,overview,2020-11-13,2670167
K02000001,United Kingdom,overview,2020-11-12,2666361
K02000001,United Kingdom,overview,2020-11-11,2662272
K02000001,United Kingdom,overview,2020-11-10,2656805
K02000001,United Kingdom,overview,2020-11-09,2651432
K02000001,United Kingdom,overview,2020-11-08,2644384
K02000001,United Kingdom,overview,2020-11-07,2641393
K02000001,United Kingdom,overview,2020-11-06,2638015
K02000001,United Kingdom,overview,2020-11-05,2630398
K02000001,United Kingdom,overview,2020-11-04,2618976
K02000001,United Kingdom,overview,2020-11-03,2611592
K02000001,United Kingdom,overview,2020-11-02,2595803
K02000001,United Kingdom,overview,2020-11-01,2583073
K02000001,United Kingdom,overview,2020-10-31,2570535
K02000001,United Kingdom,overview,2020-10-30,2554427
K02000001,United Kingdom,overview,2020-10-29,2529148
K02000001,United Kingdom,overview,2020-10-28,2498691
K02000001,United Kingdom,overview,2020-10-27,2463679
K02000001,United Kingdom,overview,2020-10-26,2423782
K02000001,United Kingdom,overview,2020-10-25,2421293
K02000001,United Kingdom,overview,2020-10-24,2420671
K02000001,United Kingdom,overview,2020-10-23,2419208
K02000001,United Kingdom,overview,2020-10-22,2413880
K02000001,United Kingdom,overview,2020-10-21,2410017
K02000001,United Kingdom,overview,2020-10-20,2405116
K02000001,United Kingdom,overview,2020-10-19,2392163
K02000001,United Kingdom,overview,2020-10-18,2388971
K02000001,United Kingdom,overview,2020-10-17,2388476
K02000001,United Kingdom,overview,2020-10-16,2387250
K02000001,United Kingdom,overview,2020-10-15,2381149
K02000001,United Kingdom,overview,2020-10-14,2376566
K02000001,United Kingdom,overview,2020-10-13,2371573
K02000001,United Kingdom,overview,2020-10-12,2358759
K02000001,United Kingdom,overview,2020-10-11,2355709
K02000001,United Kingdom,overview,2020-10-10,2355186
K02000001,United Kingdom,overview,2020-10-09,2352816
K02000001,United Kingdom,overview,2020-10-08,2346555
K02000001,United Kingdom,overview,2020-10-07,2341430
K02000001,United Kingdom,overview,2020-10-06,2336467
K02000001,United Kingdom,overview,2020-10-05,2328210
K02000001,United Kingdom,overview,2020-10-04,2320286
K02000001,United Kingdom,overview,2020-10-03,2319011
K02000001,United Kingdom,overview,2020-10-02,2317067
K02000001,United Kingdom,overview,2020-10-01,2310039
K02000001,United Kingdom,overview,2020-09-30,2303486
K02000001,United Kingdom,overview,2020-09-29,2297407
K02000001,United Kingdom,overview,2020-09-28,2285446
K02000001,United Kingdom,overview,2020-09-27,2280561
K02000001,United Kingdom,overview,2020-09-26,2276649
K02000001,United Kingdom,overview,2020-09-25,2271840
K02000001,United Kingdom,overview,2020-09-24,2261740
K02000001,United Kingdom,overview,2020-09-23,2248826
K02000001,United Kingdom,overview,2020-09-22,2224804
K02000001,United Kingdom,overview,2020-09-21,2209108
K02000001,United Kingdom,overview,2020-09-20,2197831
K02000001,United Kingdom,overview,2020-09-19,2185518
K02000001,United Kingdom,overview,2020-09-18,2170775
K02000001,United Kingdom,overview,2020-09-17,2147094
K02000001,United Kingdom,overview,2020-09-16,2119863
K02000001,United Kingdom,overview,2020-09-15,2076840
K02000001,United Kingdom,overview,2020-09-14,2024845
K02000001,United Kingdom,overview,2020-09-13,2012153
K02000001,United Kingdom,overview,2020-09-12,2010458
K02000001,United Kingdom,overview,2020-09-11,2007237
K02000001,United Kingdom,overview,2020-09-10,1997918
K02000001,United Kingdom,overview,2020-09-09,1990731
K02000001,United Kingdom,overview,2020-09-08,1983892
K02000001,United Kingdom,overview,2020-09-07,1976865
K02000001,United Kingdom,overview,2020-09-06,1971037
K02000001,United Kingdom,overview,2020-09-05,1966362
K02000001,United Kingdom,overview,2020-09-04,1963555
K02000001,United Kingdom,overview,2020-09-03,1955714
K02000001,United Kingdom,overview,2020-09-02,1948420
K02000001,United Kingdom,overview,2020-09-01,1941933
K02000001,United Kingdom,overview,2020-08-31,1937585
K02000001,United Kingdom,overview,2020-08-30,1936019
K02000001,United Kingdom,overview,2020-08-29,1934992
K02000001,United Kingdom,overview,2020-08-28,1931515
K02000001,United Kingdom,overview,2020-08-27,1923278
K02000001,United Kingdom,overview,2020-08-26,1914295
K02000001,United Kingdom,overview,2020-08-25,1907040
K02000001,United Kingdom,overview,2020-08-24,1900142
K02000001,United Kingdom,overview,2020-08-23,1894689
K02000001,United Kingdom,overview,2020-08-22,1884935
K02000001,United Kingdom,overview,2020-08-21,1880759
K02000001,United Kingdom,overview,2020-08-20,1871174
K02000001,United Kingdom,overview,2020-08-19,1860084
K02000001,United Kingdom,overview,2020-08-18,1850833
K02000001,United Kingdom,overview,2020-08-17,1844952
K02000001,United Kingdom,overview,2020-08-16,1841024
K02000001,United Kingdom,overview,2020-08-15,1839916
K02000001,United Kingdom,overview,2020-08-14,1837089
K02000001,United Kingdom,overview,2020-08-13,1829645
K02000001,United Kingdom,overview,2020-08-12,1823078
K02000001,United Kingdom,overview,2020-08-11,1814960
K02000001,United Kingdom,overview,2020-08-10,1805820
K02000001,United Kingdom,overview,2020-08-09,1793809
K02000001,United Kingdom,overview,2020-08-08,1790336
K02000001,United Kingdom,overview,2020-08-07,1785716
K02000001,United Kingdom,overview,2020-08-06,1776818
K02000001,United Kingdom,overview,2020-08-05,1761439
K02000001,United Kingdom,overview,2020-08-04,1747490
K02000001,United Kingdom,overview,2020-08-03,1733605
K02000001,United Kingdom,overview,2020-08-02,1722395
K02000001,United Kingdom,overview,2020-08-01,1693519
K02000001,United Kingdom,overview,2020-07-31,1677213
K02000001,United Kingdom,overview,2020-07-30,1651741
K02000001,United Kingdom,overview,2020-07-29,1615048
K02000001,United Kingdom,overview,2020-07-28,1607005
K02000001,United Kingdom,overview,2020-07-27,1599877
K02000001,United Kingdom,overview,2020-07-26,1590121
K02000001,United Kingdom,overview,2020-07-25,1588233
K02000001,United Kingdom,overview,2020-07-24,1584341
K02000001,United Kingdom,overview,2020-07-23,1574360
K02000001,United Kingdom,overview,2020-07-22,1563344
K02000001,United Kingdom,overview,2020-07-21,1552983
K02000001,United Kingdom,overview,2020-07-20,1543050
K02000001,United Kingdom,overview,2020-07-19,1533761
K02000001,United Kingdom,overview,2020-07-18,1527015
K02000001,United Kingdom,overview,2020-07-17,1522224
K02000001,United Kingdom,overview,2020-07-16,1509039
K02000001,United Kingdom,overview,2020-07-15,1494048
K02000001,United Kingdom,overview,2020-07-14,1479813
K02000001,United Kingdom,overview,2020-07-13,1465448
K02000001,United Kingdom,overview,2020-07-12,1453925
K02000001,United Kingdom,overview,2020-07-11,1446453
K02000001,United Kingdom,overview,2020-07-10,1437899
K02000001,United Kingdom,overview,2020-07-09,1417065
K02000001,United Kingdom,overview,2020-07-08,1393130
K02000001,United Kingdom,overview,2020-07-07,1367338
K02000001,United Kingdom,overview,2020-07-06,1347721
K02000001,United Kingdom,overview,2020-07-05,1330634
K02000001,United Kingdom,overview,2020-07-04,1325434
K02000001,United Kingdom,overview,2020-07-03,1313430
K02000001,United Kingdom,overview,2020-07-02,1279850
K02000001,United Kingdom,overview,2020-07-01,1247612
K02000001,United Kingdom,overview,2020-06-30,1213603
K02000001,United Kingdom,overview,2020-06-29,1180368
K02000001,United Kingdom,overview,2020-06-28,1135154
K02000001,United Kingdom,overview,2020-06-27,1120239
K02000001,United Kingdom,overview,2020-06-26,1103129
K02000001,United Kingdom,overview,2020-06-25,1064172
K02000001,United Kingdom,overview,2020-06-24,1017137
K02000001,United Kingdom,overview,2020-06-23,967199
K02000001,United Kingdom,overview,2020-06-22,918052
K02000001,United Kingdom,overview,2020-06-21,878061
K02000001,United Kingdom,overview,2020-06-20,862031
K02000001,United Kingdom,overview,2020-06-19,826525
K02000001,United Kingdom,overview,2020-06-18,783068
K02000001,United Kingdom,overview,2020-06-17,736937
K02000001,United Kingdom,overview,2020-06-16,689796
K02000001,United Kingdom,overview,2020-06-15,648176
K02000001,United Kingdom,overview,2020-06-14,616537
K02000001,United Kingdom,overview,2020-06-13,602033
K02000001,United Kingdom,overview,2020-06-12,578161
K02000001,United Kingdom,overview,2020-06-11,529386
K02000001,United Kingdom,overview,2020-06-10,481279
K02000001,United Kingdom,overview,2020-06-09,436305
K02000001,United Kingdom,overview,2020-06-08,397352
K02000001,United Kingdom,overview,2020-06-07,368177
K02000001,United Kingdom,overview,2020-06-06,350068
K02000001,United Kingdom,overview,2020-06-05,325621
K02000001,United Kingdom,overview,2020-06-04,282190
K02000001,United Kingdom,overview,2020-06-03,236024
K02000001,United Kingdom,overview,2020-06-02,195514
K02000001,United Kingdom,overview,2020-06-01,158298
K02000001,United Kingdom,overview,2020-05-31,127351
